MLS NUMBER,STATUS,ADDRESS,BEDS,FBATHS,HBATHS,LIST PRICE,SOLD PRICE,CONTRACT,SETTLED,CITY,SUBDIV,LOT SIZE,TOT SQFT,LIV SQFT,YEAR BUILT,CONST,DESIGN1,DESIGN2,HEAT,COOLING,GAR SPACES,PARKING,GAR DESC,DINING,EXT FEAT,FLOORS,INT FEAT,LOT DESC,POOL2,POOL DIM,ROOF,OTHER ROOM,SEWER,VIEW,WATER,WINDOWS,SUBD INFO,EST TAXES,SPA,POOL1,MSTR BATH,STYLE,SHORT SALE,REO,BLDG UNITS,COMPLEX UNITS,UNIT FLOOR LOC,TOTAL FLOORS,SUBDIVISION INFO,SECURITY INFO,RESTRICTIONS,FEE DESCRIPTION,ASSOC FEE PAID PER,MAINT CHARGE,LAND LEASE,REC LEASE,ASSOCIATION FEE,MIN LEASE,MAINT INCL,DEVELOPMENT NAME,COMPLEX,UNIT #,ROOF,PUBLIC REMARKS,EXPECTED CLOSING DATE,APPROX LOT SIZE,ZIP CODE,PHOTO COUNT,WITHDRAWN DATE,EXPIRATION DATE,PENDING DATE,OFF MARKET DATE,SALE TERMS,DAYS ON MARKET,COUNTY,APN,ENTRY DATE,SELLER CONTRIBUTIONS (Y/N),SELLER CONTRIBUTIONS ($) 
A10626407,Active,28 Harbor Pt,7,8,1,25000000,,02/25/2019 12:00:00 AM,,Key Biscayne,LORIDO ESTATES,27137,11556,11556,2019,"Cbs Construction, New Construction, Slab Construction",Detached,Two Story,"Central Heat, Electric Heat","Central Cooling, Electric Cooling",4,"Circular Drive, Driveway, Pavers",Attached,"Breakfast Area, Dining/Living Room, Formal Dining","Deck, Exterior Lighting, High Impact Doors, Open Balcony, Open Porch, Wraparound Porch",Tile Floors,"First Floor Entry, Cooking Island, Foyer Entry, Split Bedroom, Vaulted Ceilings, Volume Ceilings, Walk-In Closets",1/2 To Less Than 3/4 Acre Lot,"Below Ground Pool, Heated, Whirlpool In Pool",40X15,,"Den/Library/Office, Family Room, Great Room, Maid/In-Law Quarters, Recreation Room, Sauna",Municipal Sewer,Direct Ocean,Municipal Water,"High Impact Windows, Impact Glass, Sliding",LORIDO ESTATES,67895,True,True,"Dual Sinks, Separate Tub & Shower",R35-WF/Pool/Ocean Access,False,False,,,,,No Subdiv/Park Info,,No Restrictions,,,,,,,,,,,,,"28 Harbor is a spectacular oceanfront sanctuary located in the prestigious Harbor Point of Miami’s Exclusive Island, Key Biscayne. This custom gated mansion is a masterpiece situated between the Atlantic Ocean and the Island’s Harbor. With over an ½ acre of prime oceanfront property, this residence includes a 170 Ft deep water private dock to the north, large enough for a mega-yacht. The direct oceanfront location is tremendously private and includes a state of the art security system. The infinity edge pool is complete with a jacuzzi and over 5,000 sq ft of outdoor terraces.  A Zen Entry, makes this the most tranquil and spiritual place one can imagine. Entering the home becomes a personal affair of elegance with a meticulous blend of luxury materials complimented by magnificent views.",,,33149,59,,,,,,231,Miami-Dade County,24-52-06-001-0020,02/25/2019 1:40:27 PM,,
A10728109,Active,9 Harbor Pt,8,8,3,19500000,,08/22/2019 12:00:00 AM,,Key Biscayne,MATHESON ESTATES,27300,13502,11028,2006,Cbs Construction,Detached,"Two Story, Tri Level","Central Heat, Electric Heat, Zoned Heat","Central Cooling, Electric Cooling, Zoned Cooling",4,"Circular Drive, Covered Parking, Driveway",,"Breakfast Area, Eat-In Kitchen, Formal Dining","Exterior Lighting, Extra Building/Shed, High Impact Doors, Open Balcony","Marble Floors, Terrazzo Floors, Wood Floors","First Floor Entry, Bar, Built-Ins, Cooking Island, French Doors, Chandelier To Be Replaced, 3 Bedroom Split",1/2 To Less Than 3/4 Acre Lot,Below Ground Pool,0x0,,"Den/Library/Office, Family Room, Florida Room, Garage Apartment, Maid/In-Law Quarters, Utility Room/Laundry",Municipal Sewer,"Bay, Ocean View",Municipal Water,Impact Glass,MATHESON ESTATES,221372,,True,"2 Master Bathrooms, Bidet, Separate Tub & Shower",R35-WF/Pool/Ocean Access,False,False,,,,,No Subdiv/Park Info,,No Restrictions,,,,,,,,,,,,,"Welcome to one of the most refined waterfront residences in Florida. Nestled in The only private road of  Key Biscayne, this magnificent home sits on an oversized lot with direct Biscayne Bay and Miami skyline views. Extremely sophisticated Bali style home designed by CMA Design Studio, top of the line materials, Lutron system with recess lighting that creates a perfect setting for the interior of the residence. Formal dining, butlers pantry, adjacent to the upscale kitchen (gas stove) and breakfast area with direct access to the covered patio with Jasmin climbing vine, large guest suite on garage second floor.  Total of 8 bedrooms.  Third-floor loggia family room. Double stair access. Expansive covered terrace and gazebo by the pool. Private dock. Boatlift. Private and gated. Generator.",,27300,33149,33,,,,,,53,Miami-Dade County,24-42-32-002-0282,08/22/2019 4:25:08 PM,,
A10643662,Active,430 N Mashta Dr,6,7,1,19500000,,03/22/2019 12:00:00 AM,,Key Biscayne,SMUGGLERS COVE,36069,6000,6000,2015,Cbs Construction,Attached,"Two Story, Split Level","Central Heat, Electric Heat","Ceiling Fans, Electric Cooling",4,"Covered Parking, Driveway, Golf Cart Parking",Attached,"Breakfast Area, Dining/Living Room, Florida/Dining Combination","Deck, Extra Building/Shed, Fence, High Impact Doors, Open Balcony, Patio","Marble Floors, Wood Floors","First Floor Entry, Built-Ins, Closet Cabinetry, Elevator, Foyer Entry, Walk-In Closets",1/2 To Less Than 3/4 Acre Lot,Below Ground Pool,1x1,,"Family Room, Media Room",Municipal Sewer,"Garden View, River",Municipal Water,,SMUGGLERS COVE,75671,True,True,"Bidet, Dual Sinks, Separate Tub & Shower, Whirlpool/Spa",R35-WF/Pool/Ocean Access,False,False,,,,,No Subdiv/Park Info,,No Restrictions,,Yearly,,,,0,,,,,,,"One of kind waterfront property,House sits in 2 lots (430 and 460 N Mashta): total of 36072 sq.ft of land, epitome of privacy&high end construction, overlooking wide water-view (Smugglers Cove)&the Florida State Park. Direct access to open water within 2 minutes. Completely gated w/ state of the art security system all around the residence. 2 docks for large yachts, brand new seawall. Formal dining, 3 reception areas, wine cellar, Over-sized master suite offers breathtaking views, elegant wood paneling work, 2 large custom walk in closets and fabulous master bathroom. 3 bedrooms on 2nd floor. Media room w/German technology TV&sound system. Professional gym area w/ tatami area, sauna, steam&full bathroom. Most of the areas looking to pool&water. Please call me for details and specs.",,36069,33149,32,,,,,,206,Miami-Dade County,24-52-05-017-0050,03/22/2019 1:18:52 PM,,
A10643797,Active,350 Harbor Dr,7,8,1,18000000,,03/26/2019 12:00:00 AM,,Key Biscayne,TROPICAL ISLE HOMES SUB 4,23772,8928,8928,1998,Cbs Construction,Attached,"Two Story, Mediterranean","Central Heat, Electric Heat","Ceiling Fans, Central Cooling, Electric Cooling",2,"Covered Parking, Driveway",Attached,"Breakfast Area, Dining/Living Room, Formal Dining","Barbeque, Deck, Electric Shutters, Exterior Lighting, Open Porch","Marble Floors, Wood Floors","First Floor Entry, Built-Ins, Pantry",1/2 To Less Than 3/4 Acre Lot,Below Ground Pool,1x1,,"Den/Library/Office, Maid/In-Law Quarters",Municipal Sewer,Bay,Municipal Water,,TROPICAL ISLE HOMES SUB 4,174750,,True,"2 Master Bathrooms, Bidet, Combination Tub & Shower, Dual Sinks",R35-WF/Pool/Ocean Access,False,False,,,,,No Subdiv/Park Info,,Ok To Lease,,,,,,,,,,,,,"Key Biscayne Magnificent residence with Miami skyline at his best. Built on a over-sized lot (23774 sq.ft). Unique city views. Home offers 8,000+ sq.ft of great amenities and floor plan. Master suite on first floor with expansive own office library . Family room .  4 bedrooms en suite on second floor . Terraces on first and second floor .  Two bedrooms en suite for staff. High ceilings through out the house , large floor to ceiling impact glass windows , large covered terrace embracing the backyard with BBQ area, sitting area and amazing city and pool views.dock  area with boat lift (24000 pounds- 33 plus ft boat ) and dock sitting area. Double stairs circulation . 2 car enclosed garage . Gated . Must visit to appreciate how grand this house is.",,23772,33149,23,,,,,,202,Miami-Dade County,24-42-32-006-0070,03/27/2019 1:05:11 PM,,
A10237695,Active,260 HARBOR DR,6,7,2,14900000,,03/02/2017 12:00:00 AM,,Key Biscayne,TROPICAL ISLE HOMES SUB 4,20000,7392,7392,2014,Cbs Construction,Detached,Two Story,"Central Heat, Electric Heat","Central Cooling, Electric Cooling",3,"Driveway, Golf Cart Parking",Attached,"Breakfast Area, Eat-In Kitchen, Formal Dining","Barbeque, Deck, Exterior Lighting, Open Porch","Ceramic Floor, Marble Floors","Built-Ins, Elevator, Pantry, Split Bedroom, Volume Ceilings, Walk-In Closets",1/4 To Less Than 1/2 Acre Lot,Below Ground Pool,0,,"Attic, Den/Library/Office, Family Room, Separate Guest/In-Law Quarters, Maid/In-Law Quarters, Media Room",Municipal Sewer,"Bay, Garden View",Municipal Water,,TROPICAL ISLE HOMES SUB 4,177828,False,True,"Dual Sinks, Separate Tub & Shower",R35-WF/Pool/Ocean Access,False,False,,,,,No Subdiv/Park Info,,No Restrictions,,,,,,,,,,,,,"Unique location. Miami Skyline views. Oversized 20,000 sf lot. Built '14. This elegant island feeling residence has everything to captivate you. Gated & private. Bright, high ceilings. Water views as you walk in, mesmerizing day & night views. Reception area opens to large covered terrace overlooking pool & Bay. Formal dining. Elevator, all bedrooms en suite, master suite w/his & her bathrooms & terrace. Family room, wine cellar, library, guest area. Large kitchen w/breakfast area & terrace. 3 car garage.",,20000,33149,35,,,,,,956,Miami-Dade County,24-42-32-006-0150,03/08/2017 11:25:39 AM,,
A10634593,Active,880 HARBOR DRIVE,7,7,2,14850000,,03/06/2019 12:00:00 AM,,Key Biscayne,CAPE FLORIDA SUB SEC 1,15300,9453,7495,2019,Cbs Construction,Attached,Three Or More Stories,Electric Heat,Electric Cooling,0,"Covered Parking, Driveway",,"Breakfast Area, Formal Dining, Snack Bar/Counter","Built-In Grill, Open Balcony, Patio","Ceramic Floor, Marble Floors, Wood Floors","First Floor Entry, Built-Ins, Closet Cabinetry",1/4 To Less Than 1/2 Acre Lot,Below Ground Pool,0,,"Den/Library/Office, Family Room, Maid/In-Law Quarters, Utility Room/Laundry",Municipal Sewer,"Bay, Water View",Municipal Water,Blinds/Shades,CAPE FLORIDA SUB SEC 1,0,,True,"Bidet, Dual Sinks, Separate Tub & Shower",R35-WF/Pool/Ocean Access,False,False,,,,,Public Road,,Ok To Lease,,,,,,,,,,,,,"BRAND NEW waterfront estate offering the ultimate level of luxury and perfection.This 3 story contemporary masterpiece has been meticulously designed with exquisite architecture providing both comfort and elegance with spectacular top of the line finishes. This gorgeous home has very defined and open spaces with breathtaking and astonishing views of the harbor and bay. This dream residence is offered fully furnished as seen in the pictures with an incredible infinity pool & terrace overlooking the harbor, 7 bed, 7 full baths and 2 powder rooms,high ceilings throughout, floor to ceiling glass windows & doors, stainless steel state-off-the-art appliances,BBQ area and on the 3rd level you will find a stunning  family room, bar and huge terrace where you can enjoy entertain family and friends.",,,33149,46,,,,,,222,Miami-Dade County,24-52-05-010-0370,03/07/2019 8:35:06 PM,,
A10410729,Active,100 Cape Florida Dr,5,6,3,12000000,,01/31/2018 12:00:00 AM,,Key Biscayne,CAPE FLORIDA SUB SEC 3,16500,11006,8240,2007,Cbs Construction,Attached,Three Or More Stories,Central Heat,Central Cooling,6,"Driveway, Pavers",Attached,,"Exterior Lighting, Open Balcony","Marble Floors, Wood Floors","First Floor Entry, Built-Ins, Closet Cabinetry, Cooking Island, Elevator, Foyer Entry, Walk-In Closets",1/4 To Less Than 1/2 Acre Lot,Below Ground Pool,1,,"Den/Library/Office, Family Room, Maid/In-Law Quarters",Municipal Sewer,Canal,Municipal Water,"Blinds/Shades, Drapes & Rods, High Impact Windows, Impact Glass",CAPE FLORIDA SUB SEC 3,99800,,True,"Dual Sinks, Separate Tub & Shower",R35-WF/Pool/Ocean Access,False,False,,,,,Exercise Room,,Ok To Lease,,,,,,,,,,,,,"One of Key Biscayne’s few homes on Pines Canal facing Cape Florida State Park, so your views are pure mangroves. You will never have construction spoiling your view! Swim in your pool in complete privacy!  A true boater’s dream home with an L-shaped canal with frontage to fit two boats! Gorgeous formal and informal areas perfect for entertaining! Large functional kitchen, family room, office/library, lots of covered terraces. Six car garage for the car lover!Wine cellar, elevator, gym! Five bedrooms/6 baths/3 half baths. Gorgeous onyx floor and counters in the master bath. The home has everything you need for luxurious living!",,,33149,33,,,,,,621,Miami-Dade County,24-52-05-024-0390,01/31/2018 12:05:53 PM,,
A10596077,Active,290 Harbor Dr,5,5,0,11850000,,01/08/2019 12:00:00 AM,,Key Biscayne,TROPICAL ISLE HOMES SUB 4,20000,5532,5532,1954,Cbs Construction,Detached,Other,Central Heat,Central Cooling,2,"Circular Drive, Covered Parking, Guest Parking",,,"Barbeque, Deck, Electric Shutters, Open Balcony, Open Porch, Patio, Storm/Security Shutters","Marble Floors, Wood Floors","First Floor Entry, Built-Ins, Closet Cabinetry",1/4 To Less Than 1/2 Acre Lot,"Below Ground Pool, Child Gate Fence, Heated",0,,"Den/Library/Office, Family Room, Florida Room, Maid/In-Law Quarters, Utility Room/Laundry",Municipal Sewer,Bay,Other,,TROPICAL ISLE HOMES SUB 4,137481,,True,,R35-WF/Pool/Ocean Access,False,False,,,,,Other Subdiv/Park Info,,No Restrictions,,,,,,,,,,,,,Bayfront home with amazing open bay views. Large dock that accommodates very large boat. Extremely private home. Great home for entertaining. A true gem with open floor plan. 24 hour notice for showings - Tenant occupied,,,33149,28,,,,,,279,Miami-Dade County,24-42-32-006-0120,01/09/2019 1:44:09 PM,,
A10682982,Active,760 Harbor Dr,7,7,2,11850000,,05/31/2019 12:00:00 AM,,Key Biscayne,BISCAYNE KEY ESTATES,18212,9183,9183,1998,Cbs Construction,Detached,"Three Or More Stories, Mediterranean","Central Heat, Electric Heat","Central Cooling, Electric Cooling",4,"Circular Drive, Guest Parking, Pavers",Attached,"Eat-In Kitchen, Formal Dining, Snack Bar/Counter","Fence, Open Balcony, Patio, Storm/Security Shutters","Marble Floors, Tile Floors, Wood Floors","First Floor Entry, Bar, Built-Ins, Closet Cabinetry, Cooking Island, Elevator, Foyer Entry",1/4 To Less Than 1/2 Acre Lot,"Below Ground Pool, Equipment Stays, Free Form, Heated",0,,"Den/Library/Office, Family Room, Separate Guest/In-Law Quarters, Maid/In-Law Quarters, Media Room, Sauna, Utility Room/Laundry",Municipal Sewer,"Lagoon, Water View",Municipal Water,Plantation Shutters,BISCAYNE KEY ESTATES,138390,True,True,"Bidet, Dual Sinks, Separate Tub & Shower, Whirlpool/Spa",R35-WF/Pool/Ocean Access,False,False,,,,,No Subdiv/Park Info,,No Restrictions,,,,,,,,,,,,,"Views of wide water lagoon from this beautiful Mediterranean home located in the fabled Island of Key Biscayne. Sited on a half acre +/- lot with 7 bedrooms, 7 full baths and 2 half baths, it offers the ultimate destination for anyone seeking to accommodate either a growing or a multi-generational family. There is a spacious 2 bedroom guest house attached, located over an air conditioned 2 car garage. The sprawling roof-top patio is the ultimate spot for entertaining and enjoying fabled, Miami sunsets and city skyline  views. There are an almost endless list of amenities: deep water dock for a large vessel, free-form swimming pool and jacuzzi, summer kitchen, gym, library, elevator, gourmet kitchen and family room overlooking the lagoon. Bring your most discriminating buyers!",,,33149,81,,,,,,136,Miami-Dade County,24-52-05-001-3370,05/31/2019 1:09:01 PM,,
A10368018,Active,910 HARBOR DRIVE,5,4,0,10990000,,11/06/2017 12:00:00 AM,,Key Biscayne,CAPE FLORIDA SUB SEC 1,24473,4653,2735,1962,Cbs Construction,Attached,Two Story,No Heat,Electric Cooling,2,"Covered Parking, Driveway",Attached,Formal Dining,"Awnings, Fence, Open Porch, Patio","Ceramic Floor, Tile Floors","First Floor Entry, Laundry Tub, Walk-In Closets",1/2 To Less Than 3/4 Acre Lot,Below Ground Pool,0,,"Family Room, Utility/Laundry In Garage",Municipal Sewer,"Canal, Water View",Municipal Water,Blinds/Shades,CAPE FLORIDA SUB SEC 1,127800,,True,,R35-WF/Pool/Ocean Access,False,False,,,,,Public Road,,Ok To Lease,,,,,,,,,,,,,"Create and build your perfect home on this incredible and very spacious property with 24,473 Sq Ft of land as per Miami Dade County. Enjoy the gorgeous and breathtaking views of the harbor and bay as well as being at the end of Harbor Drive where it is very quiet and peaceful. This is a boater’s paradise.",,,33149,20,,,,,,707,Miami-Dade County,24-52-05-010-0400,11/06/2017 11:54:37 AM,,
