,LATITUDE,LONGITUDE,ALTITUDE,LIST PRICE,LOT SIZE,EST TAXES,year
0,25.842269,-80.131355,0.30000001192092896,32500000,43615.0,188036,2019
1,25.826125,-80.133161,0.30000001192092896,26500000,21517.0,256084,2018
2,25.834123,-80.123878,4.0,23990000,83548.0,153260,2018
3,25.847262,-80.12662,1.399999976158142,22500000,77748.0,281368,2018
4,25.845853,-80.126169,0.4000000059604645,22500000,43763.0,284598,2018
5,25.814632,-80.185615,4.400000095367432,20000000,25554.0,99518,2017
6,25.850376,-80.124851,0.0,19950000,24673.0,115586,2019
7,25.815418,-80.184767,4.199999809265137,14500000,22800.0,86496,2019
8,25.822777,-80.124944,2.5,13750000,10695.636236933799,113928,2018
9,25.820894,-80.183183,0.10000000149011612,13400000,67453.0,212873,2015
10,25.816344,-80.138568,0.30000001192092896,12950000,19200.0,100236,2019
11,25.832934,-80.130118,0.4000000059604645,12800000,12759.0,71000,2018
12,25.834182,-80.123421,4.099999904632568,11995000,48300.0,131062,2018
13,25.834608,-80.123372,3.5999999046325684,11995000,35248.0,22198,2018
14,25.816818,-80.125057,3.0,11950000,39000.0,113351,2018
15,25.826953,-80.12594,4.599999904632568,11895000,33150.0,146645,2018
16,25.83315,-80.130154,0.30000001192092896,11790000,12759.0,78623,2019
17,25.843695,-80.129424,0.30000001192092896,11500000,25215.0,131906,2019
18,25.844658,-80.128526,0.30000001192092896,10500000,27013.0,125196,2019
19,25.838572,-80.123502,3.0999999046325684,9800000,32019.0,31248,2019
20,25.820592,-80.184896,3.700000047683716,9500000,30823.0,187837,2019
21,25.849416,-80.130845,0.30000001192092896,8995000,18000.0,131015,2019
22,25.845076,-80.128197,0.30000001192092896,8900000,24000.0,121076,2019
23,25.836806,-80.123334,2.9000000953674316,8900000,16401.0,123903,2019
24,25.812221,-80.125642,3.5,8900000,27600.0,93387,2018
25,25.820988,-80.180524,0.0,8745000,18847.0,72512,2019
26,25.830922,-80.130274,0.30000001192092896,8500000,13441.0,63026,2018
27,25.823884,-80.12696,3.4000000953674316,8000000,16064.0,98732,2019
28,25.831803,-80.123955,2.700000047683716,7995000,12492.0,17885,2019
29,25.846395,-80.124373,0.30000001192092896,7985000,17280.0,31571,2019
30,25.844265,-80.125389,2.0,7850000,21140.0,81356,2019
31,25.819706,-80.130087,0.30000001192092896,7750000,12129.0,29700,2017
32,25.849328,-80.138329,0.30000001192092896,7500000,13940.0,76644,2019
33,25.818142,-80.183002,0.20000000298023224,6995000,15300.0,48996,2019
34,25.843098,-80.130136,0.30000001192092896,6990000,19685.0,51706,2016
35,25.847899,-80.123772,0.0,6750000,21600.0,24482,2018
36,25.820894,-80.183183,0.10000000149011612,6700000,31363.0,116717,2017
37,25.820452,-80.183098,0.30000001192092896,6700000,36180.0,148042,2015
38,25.829139,-80.130473,0.6000000238418579,6495000,37735.0,33320,2019
39,25.815732,-80.12531,3.299999952316284,6399000,41400.0,81235,2019
40,25.824899,-80.126511,5.300000190734863,6300000,33301.0,36959,2018
41,25.816413,-80.184564,5.099999904632568,6250000,12643.0,18028,2019
42,25.862168,-80.13025,1.100000023841858,6200000,11250.0,56775,2018
43,25.845857,-80.125936,0.30000001192092896,6190000,16235.0,23847,2019
44,25.84112,-80.124146,2.799999952316284,6079000,12642.0,63711,2018
45,25.832667,-80.124537,3.5999999046325684,5950000,15134.0,50289,2019
46,25.818302,-80.130546,0.30000001192092896,5950000,9408.0,22176,2019
47,25.818237,-80.184087,3.200000047683716,5950000,16669.0,28028,2018
48,25.820966,-80.181498,0.0,5950000,14080.0,68199,2018
49,25.833616,-80.123621,3.799999952316284,5650000,15708.0,68965,2019
50,25.824286,-80.128345,3.9000000953674316,5600000,15600.0,18274,2019
51,25.844927,-80.123234,0.699999988079071,5500000,16200.0,66163,2019
52,25.850847,-80.172238,0.30000001192092896,5500000,9650.0,18998,2018
53,25.852292,-80.173677,0.6000000238418579,5450000,25060.0,64191,2019
54,25.832412,-80.123886,2.799999952316284,5300000,10695.636236933799,67000,2019
55,25.809452,-80.127879,3.5999999046325684,4995000,30000.0,19403,2019
56,25.836681,-80.124475,2.799999952316284,4950000,10194.0,18286,2019
57,25.831627,-80.180926,4.0,4950000,29300.0,11012,2019
58,25.837615,-80.131757,1.0,4900000,17100.0,47801,2019
59,25.819018,-80.131258,0.699999988079071,4790000,14773.0,21771,2019
60,25.850226,-80.135043,0.4000000059604645,4700000,13543.0,35819,2019
61,25.850094,-80.17245,0.30000001192092896,4700000,9042.0,22403,2019
62,25.849371,-80.140046,0.30000001192092896,4600000,11390.0,9531,2018
63,25.862045,-80.130075,1.0,4500000,11250.0,31671,2018
64,25.83693,-80.124477,2.799999952316284,4390000,11376.0,21380,2019
65,25.816105,-80.18708,8.5,4350000,19163.0,50464,2019
66,25.836543,-80.131154,1.100000023841858,4275000,7500.0,18219,2019
67,25.808882,-80.12801,3.5999999046325684,3999000,20000.0,13269,2019
68,25.847566,-80.127836,3.299999952316284,3799000,13750.0,46431,2017
69,25.811087,-80.12663,3.5999999046325684,3750000,17500.0,37047,2018
70,25.842342,-80.127185,2.9000000953674316,3650000,9420.0,16012,2019
71,25.842173,-80.122884,1.0,3500000,10695.636236933799,31122,2017
72,25.825727,-80.129826,3.0,3479000,9675.0,32811,2019
73,25.858773,-80.144096,0.30000001192092896,3300000,12410.0,39643,2019
74,25.838229,-80.125202,3.299999952316284,3200000,9875.0,27200,2019
75,25.860076,-80.142652,0.30000001192092896,3200000,12563.0,8626,2018
76,25.825045,-80.132041,0.5,3199990,18630.0,46374,2019
77,25.81629,-80.132406,0.30000001192092896,3190000,9620.0,38036,2018
78,25.811335,-80.122613,1.5,3000000,10695.636236933799,37000,2019
79,25.844116,-80.126161,2.0,2999999,9500.0,13964,2019
80,25.854126,-80.145039,0.30000001192092896,2999999,10200.0,38347,2019
81,25.848713,-80.129944,3.4000000953674316,2999000,13125.0,21227,2017
82,25.809027,-80.134969,0.30000001192092896,2995000,9034.0,23688,2019
83,25.843755,-80.124076,0.800000011920929,2995000,10695.636236933799,33761,2019
84,25.848428,-80.127935,3.299999952316284,2990000,12500.0,39326,2018
85,25.842653,-80.174993,0.30000001192092896,2975000,16131.0,28500,2018
86,25.843985,-80.174943,0.30000001192092896,2950000,11390.0,37218,2019
87,25.841431,-80.12498,3.0,2749000,7423.0,31764,2019
88,25.849172,-80.129113,3.0999999046325684,2745000,14416.0,12142,2019
89,25.820883,-80.136462,0.4000000059604645,2690000,6440.0,11459,2019
90,25.84287,-80.12831,1.399999976158142,2690000,7393.0,9036,2019
91,25.842374,-80.122885,1.0,2649000,10695.636236933799,26797,2019
