MLS NUMBER,STATUS,ADDRESS,BEDS,FBATHS,HBATHS,LIST PRICE,SOLD PRICE,CONTRACT,SETTLED,CITY,SUBDIV,LOT SIZE,TOT SQFT,LIV SQFT,YEAR BUILT,CONST,DESIGN1,DESIGN2,HEAT,COOLING,GAR SPACES,PARKING,GAR DESC,DINING,EXT FEAT,FLOORS,INT FEAT,LOT DESC,POOL2,POOL DIM,ROOF,OTHER ROOM,SEWER,VIEW,WATER,WINDOWS,SUBD INFO,EST TAXES,SPA,POOL1,MSTR BATH,STYLE,SHORT SALE,REO,BLDG UNITS,COMPLEX UNITS,UNIT FLOOR LOC,TOTAL FLOORS,SUBDIVISION INFO,SECURITY INFO,RESTRICTIONS,FEE DESCRIPTION,ASSOC FEE PAID PER,MAINT CHARGE,LAND LEASE,REC LEASE,ASSOCIATION FEE,MIN LEASE,MAINT INCL,DEVELOPMENT NAME,COMPLEX,UNIT #,ROOF,PUBLIC REMARKS,EXPECTED CLOSING DATE,APPROX LOT SIZE,ZIP CODE,PHOTO COUNT,WITHDRAWN DATE,EXPIRATION DATE,PENDING DATE,OFF MARKET DATE,SALE TERMS,DAYS ON MARKET,COUNTY,APN,ENTRY DATE,SELLER CONTRIBUTIONS (Y/N),SELLER CONTRIBUTIONS ($) 
R10532890,Active,1435 Brickell Avenue,3,3,1,1395000,,05/22/2019 12:00:00 AM,,Miami,FOUR SEASONS CONDO HOTEL,,2371,2371,2003,Concrete Block Construction,,,Central Heat,Central Cooling,2,"2 Or More Spaces, Assigned Parking, Covered Parking, Garage-Under Building, Guest Parking, Street Parking",,"Breakfast Area, Family/Dining Combination",,"Carpeted Floors, Marble Floors","Built-Ins, Closet Cabinetry, Elevator, Foyer Entry, Roman Tub, Walk-In Closets",East Of Us 1,,,,"Laundry, Sauna, Storage Room",,"Bay, Other View, Water View",,"Drapes & Rods, Impact Glass",FOUR SEASONS CONDO HOTEL,18614,,False,"2 Master Bathrooms, Bidet, Combination Tub & Shower, Separate Tub & Shower",C43-Condo-Hotel,False,False,85,,30,70,"Community Pool, Exercise Room, Game Room, Sidewalks, Street Lights",Doorman,"Daily Rentals Ok, Ok To Lease",,Monthly,,0,,3115,,"Recreation Facilities, Security, Garbage And Trash Removal",,FOUR SEASONS CONDO HOTEL,"3011,3012",,"This beautiful condo residence at the Four Seasons Hotel has a total of 3 bedrooms, 3.5 bathrooms and it's conveniently comprised of a 2 BED/2.5 BA with full size washer and dryer, and a complete separate Studio with 1 BA and a powder room; they are both full equipped with a kitchen, walking closets and plenty of storage space; with a total sq ft of 2,731, fully furnished and amazing city and bay views. Flooring consists of carpet and marble; each unit has an storage unit conveniently located on the 6th floor and complimentary valet. Amazing investment opportunity to rent both suites combined or separate via AIRBNB or direct rentals, current owner income was over $100,000k for 2018; enjoy the Four Seasons Hotel Lifestyle while in town or rent it out while away for great potential income!",,East of US-1,33131,44,,,,,,145,Miami-Dade County,01-41-39-078-0780,05/23/2019 12:45:54 PM,,
A10753606,Active,167 SW 20th Rd,4,4,0,1199000,,10/08/2019 12:00:00 AM,,Miami,HOLLEMAN PARK,13837,2468,2468,1940,Concrete Block Construction,Detached,One Story,Central Heat,"Air Purifier, Central Cooling",2,"Circular Drive, Driveway, Guest Parking",Attached,"Breakfast Area, Dining/Living Room, Formal Dining","Barbeque, Built-In Grill, Deck, Exterior Lighting, Extra Building/Shed, Fence, Patio","Marble Floors, Other Floors, Wood Floors","First Floor Entry, Built-Ins, Closet Cabinetry, Cooking Island, Custom Mirrors",1/4 To Less Than 1/2 Acre Lot,"Below Ground Pool, Equipment Stays",20X40,,"Attic, Den/Library/Office, Family Room, Florida Room, Garage Converted",Municipal Sewer,Garden View,Municipal Water,,HOLLEMAN PARK,8150,,True,"Dual Sinks, Separate Tub & Shower, Whirlpool/Spa",R31-Pool Only,False,False,,,,,"Paved Road, Public Road, Sidewalks",,No Restrictions,,,,,,,,,,,,,"This spectacular Mediterranean Villa 4/4 estate sitting on a corner double lot with 13,837 square feet in the prestigious Roads neighborhood is just minutes from Brickell, Coconut Grove, Downtown, Gables, Key Biscayne and the Beaches with easy access to I-95. Walking distance to Brickell City Center. This gated gem features marble and hardwood floors throughout, main living area includes a 3/3+den, office, formal living & dining room, and family room with wall to wall sliding glass doors overlooking your private oasis with a huge swimming pool and luscious tropical landscaping.  Built in BBQ & Gazebo. Garage was converted into in-law quarters with its own private entrance. Brand new barrel tile roof in 2018. Perfect for a family - See it, fall in love with it, and then, make it yours.",,13837,33129,65,,,,,,6,Miami-Dade County,01-41-38-001-3670,10/08/2019 9:43:37 PM,,
A10726379,Active,1644 S Miami Ave,6,7,,1190000,,08/19/2019 12:00:00 AM,,Miami,RACKLEYS RESUB,7540,0,0,2020,Concrete Block Construction,Attached,Three Or More Stories,Electric Heat,Electric Cooling,8,Covered Parking,Attached,,"Built-In Grill, High Impact Doors, Open Balcony, Open Porch",Slate Floors,First Floor Entry,Less Than 1/4 Acre Lot,,,,"Family Room, Florida Room",Municipal Sewer,Garden View,Municipal Water,,RACKLEYS RESUB,12689,,False,Separate Tub & Shower,R30-No Pool/No Water,False,False,,,,,Additional Amenities,,"No Leasing, Other Restrictions",,,,,,,,,,,,,"Vacant Lot For Sale, Price set for the vacant lot, Construction and materials not included on this sale, to be Develop with a Full Modern Contemporary Design Inspired in the Bauhaus. Sale included permit of the city already approved and Design Plans, construction not Included on this sale, ask for the price of the construction separate, Basement below ground and first floor of 3,545 sqft, 2nd floor 2,221 soft, All constructions detail will be finished, top of the lines appliances, Lot of 7540 sqft plus alley + 1,000 SQ FT - Total Lot of 8280 sqft., Design plans of the House with 6 Bedrooms and 7 Bathroom, Sky view Terrace with a pool and pool deck in the rooftop. Elevator include, Multiple scene view to the garden park",,8500,33129,12,,,,,,56,Miami-Dade County,01-41-39-012-0010,08/19/2019 11:56:03 PM,,
A10359452,Active,1435 Brickell Ave,2,2,1,1180000,,09/18/2017 12:00:00 AM,,Miami,MILLENNIUM TOWER CONDOMIN,,1747,1747,2003,Elevated Construction,,,Central Heat,Central Cooling,1,1 Space,,,Other,Ceramic Floor,Walk-In Closets,,,,,,,,,,MILLENNIUM TOWER CONDOMIN,25401,,,,C43-Condo-Hotel,False,False,,,31,64,,"Card Entry, Garage Secured, Guard At Site, Lobby Secured",No Restrictions,,Monthly,1820,0,0,2305,,,,FOUR SEASONS,3112,,"Elegant & fully furnished 2 Bedroom & 2.5 Bathroom with city views. Split floor plan with 8 ft. ceilings, plenty of natural lighting, located in the exclusive Four Seasons Brickell. Five Star resort amenities include 2 outdoor Oasis Pools, Business Center, 24 Hour Concierge, Hotel services 24/7, EQUINOX GYM , full service spa & Salon. Restaurants and best brunch in the City. Right in the heart of Brickell and walking distance to Brickell City Center, great restaurants and bars. 10 minutes to port of Miami,15 Minutes to Miami Airport and Miami Beach night life. EASY TO SHOW.",,,33131,52,,,,,,756,Miami-Dade County,01-41-39-078-0790,10/20/2017 12:36:38 PM,,
A10704606,Active,237 SW 20th Rd,5,3,0,1100000,,07/10/2019 12:00:00 AM,,Miami,HOLLEMAN PARK,10125,3579,3579,1919,Cbs Construction,Detached,"Two Story, Old Spanish","Central Heat, Electric Heat","Central Cooling, Electric Cooling",0,Driveway,,,"Exterior Lighting, Extra Building/Shed, Fence, High Impact Doors, Room For Pool, Shed",Wood Floors,"First Floor Entry, Closet Cabinetry, Cooking Island, Fireplace, Foyer Entry, French Doors, Vaulted Ceilings",Less Than 1/4 Acre Lot,,,,"Den/Library/Office, Family Room, Florida Room, Great Room, Storage Room, Utility Room/Laundry",Municipal Sewer,Garden View,Municipal Water,"Arched Windows, High Impact Windows",HOLLEMAN PARK,5803,False,False,,R30-No Pool/No Water,False,False,,,,,No Subdiv/Park Info,,Other Restrictions,,,,,,,,,,,,,"Charming Old Spanish-Style home on rare 10,125 sqft lot located in sought-after The Roads neighborhood. As you enter this doll house you will appreciate original details, such as vaulted ceilings in the living areas, wood flrs, & spacious living areas. The home has had several great additions for today’s comfort living, such as a large family rm, master bedrm & bath. The kitchen is spacious & well-integrated w/the formal living areas. Other features: splendid amount of natural light, impact windows & drs, lovely fireplace, 2 huge detached storages in the backyard which can serve an alternate purpose. Enjoy the spacious outdrs from a courtyard or its expansive backyard, w/ample room for a pool. Close distance to world-class shopping at Brickell City Centre, fine dining, trolley & metro rail",,,33129,21,,,,,,96,Miami-Dade County,01-41-38-001-2570,07/11/2019 12:29:20 PM,,
A10476722,Active,933 SW 4th Ave,2,2,0,1075000,,05/28/2018 12:00:00 AM,,Miami,CITY OF MIAMI SOUTH,7500,1101,1026,1922,Frame With Stucco,Detached,One Story,Other,Other,3,Other Parking,,,Other,Tile Floors,First Floor Entry,Less Than 1/4 Acre Lot,,,,Other,Municipal Sewer,None,Municipal Water,,CITY OF MIAMI SOUTH,6381,,False,,R30-No Pool/No Water,False,False,,,,,Public Road,,Other Restrictions,,,,,,,,,,,,,"Uniquely situated property in West Brickell with excellent development potential • located on the west side of  I-95 with perfect unobstructed views for billboard advertising •  7,500 sq. ft. corner lot has no neighboring properties and is presently zoned T4-R • Property presently consists of a 2/1 house (800 sq.ft) rented for $1,400 per month and an recently remodeled efficiency (300 sq. ft. ) rented for $950 per month • House has central A/C and efficiency has a mini split A/C, both purchased new in 2017 • House has an outside patio with a utility closet and a washer & dryer • Large yard • Fantastic investment opportunity. Attached are photos taken from the roof of the property that shows the amazing location with unobstructed views to I-95 and West Brickell.",,,33130,21,,,,,,504,Miami-Dade County,01-02-06-080-1120,05/28/2018 9:08:44 PM,,
R10542159,Active,1435 Brickell Avenue,2,2,1,1025000,,06/27/2019 12:00:00 AM,,Miami,FOUR SEASONS CONDO HOTEL,,1747,1747,2003,Concrete Block Construction,,,Central Heat,Central Cooling,1,"Covered Parking, Garage-Under Building, Guest Parking, Street Parking",,"Breakfast Area, Eat-In Kitchen, Family/Dining Combination",,"Carpeted Floors, Marble Floors","Built-Ins, Closet Cabinetry, Elevator, Foyer Entry, Pantry, Roman Tub, Walk-In Closets",,,,,Laundry,,"Bay, Other View, Water View",,"Drapes & Rods, Impact Glass",FOUR SEASONS CONDO HOTEL,13705,,False,Combination Tub & Shower,C43-Condo-Hotel,False,False,,,30,70,"Community Pool, Exercise Room, Internet Included, Management On Site, Sidewalks","Doorman, Card Entry","Daily Rentals Ok, Ok To Lease",,Monthly,,,,1389,,Lawn Mowing,,FOUR SEASONS CONDO HOTEL,3012,,"This beautiful condo residence at the Four Seasons in the heart of Brickell has all the five stars amenities you need!, equipped with full kitchen, 2 bed, 2.5 bath, walking closets, plenty of storage space, and a total of 1,747 sq ft, comes fully furnished and city views throughout. Flooring consists of carpet and marble; it also has a storage unit conveniently located on the 6th floor and complimentary valet parking. Amazing investment opportunity to rent this suite via AIRBNB, the Hotel Program or direct rentals; enjoy the Four Seasons Hotel Lifestyle while in town or rent it out while away for great potential income! Four Seasons Hotel Miami offers, include Spa treatments, salon, membership to Equinox fitness center, 3 pools, cabanas and bar, gourmet restaurants and room service, lobby",,,33131,30,,,,,,109,Miami-Dade County,01-41-39-078-0780,06/27/2019 2:20:01 PM,,
A10561185,Active,1750 SW 4th Ave,3,3,0,975000,,10/25/2018 12:00:00 AM,,Miami,HOLLEMAN PARK,8030,1900,1900,1939,Concrete Block Construction,Detached,"One Story, Substantially Remodeled",Gas Heat,Central Cooling,2,Driveway,,"Dining/Living Room, Eat-In Kitchen, Snack Bar/Counter","Barbeque, Extra Building/Shed, Fence, High Impact Doors",Tile Floors,"First Floor Entry, Built-Ins, Closet Cabinetry, Cooking Island, Foyer Entry, Pantry, Walk-In Closets","Corner Lot, Oversized Lot",,,,"Family Room, Guest House, Storage Room",Municipal Sewer,"Garden View, Other View",Municipal Water,"Blinds/Shades, High Impact Windows",HOLLEMAN PARK,6403,False,False,"2 Master Bathrooms, Combination Tub & Shower, Shower Only",R30-No Pool/No Water,False,False,,,,,"Public Road, Sidewalks",,No Restrictions,,,,,,,,,,,,,"Beautifully completely renovated home on an 8000+ SF Lot in ""The Roads"" neighborhood offers a 3 Bedroom, 3 Bathroom + detached 1 BD/ 1BA Cottage with private entrance for income producing rental. Impact Windows & Doors, New Plumbing, New Roof, New Electric. Gourmet Kitchen w/Luxurious finishes throughout. Paved patio area with shed house and Boat Storage! Turn-key gem in an A+ location! Minutes away from the excitement of Brickell, Financial District, Key Biscayne Beaches and Coral Gables.",,8030,33129,47,,,,,,353,Miami-Dade County,01-41-38-001-0090,10/25/2018 5:31:05 PM,,
A10742761,Active,9050 SW 85 Avenue,4,4,,875000,,09/27/2019 12:00:00 AM,,Miami,Gale Ranch Estates,15029,4063,3357,1962,Cbs Construction,Detached,"One Story, Other","Central Heat, Electric Heat","Ceiling Fans, Central Cooling, Electric Cooling",0,"Circular Drive, Driveway, Rv/Boat Parking",,"Family/Dining Combination, Snack Bar/Counter","Awnings, Exterior Lighting, Fence, Fruit Trees, Patio, Storm/Security Shutters","Marble Floors, Tile Floors","Built-Ins, Cooking Island, French Doors, Laundry Tub, Split Bedroom, Walk-In Closets, Wet Bar",1/4 To Less Than 1/2 Acre Lot,"Auto Pool Clean, Below Ground Pool, Heated",16x34,,"Attic, Den/Library/Office, Family Room, Garage Converted, Utility/Laundry In Garage, Workshop",Municipal Sewer,"Garden View, Pool Area View",Municipal Water,"Blinds/Shades, Casement, Picture Window",Gale Ranch Estates,7206,,True,"2 Master Bathrooms, Shower Only",R31-Pool Only,False,False,,,,,Underground Utilities,,No Restrictions,,,,,,,,,,,,,"This updated home is centrally located near Baptist Hospital and all that the Dadeland area has to offer including quick access to the 826/Palmetto expressway.  The traditional Spanish Style exterior does not reflect the modern interior tat was created in 2008.  It has an open floor with spacious entertaining areas that open up to large covered pool patio.  The floor plan was reconfigured and home remodeled mostly in 2008 including the flat roof.  Tile roof replaced approximately in 2005.  The fenced backyard boasts of shady trees, heated pool with spa, and an enclosed side area for boat or camper.  Garage was previously enclosed for a large air conditioned work area, laundry room and storage.  Possibility to re-convert to a garage.",,,33156,25,,,,,,17,Miami-Dade County,30-50-03-020-0470,09/27/2019 4:52:23 PM,,
A10669037,Active,1331 NE Brickell Bay Dr,2,2,0,849000,,05/07/2019 12:00:00 AM,,Miami,JADE RESIDENCES,,1529,1529,2004,Cbs Construction,,,"Central Heat, Electric Heat","Central Cooling, Electric Cooling",0,Valet Parking,Attached,Dining/Living Room,"High Impact Doors, Open Balcony","Carpeted Floors, Marble Floors","Built-Ins, Elevator, Foyer Entry, Skylight, Walk-In Closets",,,,,,,,,"Blinds/Shades, High Impact Windows, Sliding",JADE RESIDENCES,15036,,,"2 Master Bathrooms, Separate Tub & Shower, Whirlpool/Spa",C42-Condo 5+ Stories,False,False,,,29,30,,"Doorman, Card Entry, Fire Alarm, Garage Secured, Intercom In Lobby, Lobby Secured, Other Security, Security Patrol, Tv Camera",Other Restrictions,,Monthly,0,0,0,1392,,,,JADE RESIDENCES,2902,,"SPACIOUS 2/2 CORNER UNIT, A PRIVATE ELEVATOR AWAITS YOU WITH ENDLESS WATER & CITY VIEWS! UNIT FEATURES: EUROPEAN CABINETRY, SUB ZERO & MIELE STAINLESS STEEL APPLIANCES, WINE COOLER & BUILT-IN EXPRESSO BAR.  UNIT IS LOCATED IN A SOPHISTICATED TECHNOLOGICAL SMART BUILDING w/TOUCH SCREEN MONITORS TO ACCESS YOUR APARTMENT AND AMENITIES. INFINITY-EDGE POOL w/TOWEL SERVICE, CHILDS POOL, MODERN MANNED FITNESS CENTER, SPA, SAUNA, STEAM ROOM, ROOFTOP SKY LOUNGE, MEDIA ROOM, BUSINESS CENTER w/CONFERENCE ROOM, RACQUETBALL COURT, CHILDREN AREA, 24-HR. CONCIERGE & VALET.",,,33131,16,,,,,,143,Miami-Dade County,01-41-39-082-0910,05/07/2019 5:25:31 PM,,
