,ADDRESS,CITY,"ZIP CODE",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
0,"5980 N Bay Rd","Miami Beach",33140,25.842269,-80.131355,1,rooftop,5980,"N Bay Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
1,"5004 N Bay Rd","Miami Beach",33140,25.826125,-80.133161,1,rooftop,5004,"N Bay Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
2,"5565/5589 Pine Tree Dr","Miami Beach",33140,25.834123,-80.123878,1,range_interpolation,5565,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"TIGER/Line® dataset from the US Census Bureau"
3,"100 La Gorce Circle","Miami Beach",33141,25.847262,-80.12662,1,rooftop,100,"La Gorce Drive Cir","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
4,"6385 Pinetree Drive Cir","Miami Beach",33141,25.845853,-80.126169,1,range_interpolation,6385,"Pinetree Drive Cir","North Bay Village",FL,"Miami-Dade County",33141,US,"TIGER/Line® dataset from the US Census Bureau"
5,"580 Sabal Palm Rd",Miami,33137,25.814632,-80.185615,1,rooftop,580,"Sabal Palm Rd",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
6,"6650 Allison Rd","Miami Beach",33141,25.850376,-80.124851,1,rooftop,6650,"Allison Rd","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
7,"610 Sabal Palm Rd",Miami,33137,25.815418,-80.184767,1,rooftop,610,"Sabal Palm Rd",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
8,"4745 Pine Tree Dr","Miami Beach",33140,25.822777,-80.124944,1,rooftop,4745,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
9,"625 BUTTON WOOD LANE",Miami,33137,25.820894,-80.183183,1,rooftop,625,"Buttonwood Ln",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
10,"4330 N Bay Rd","Miami Beach",33140,25.816344,-80.138568,1,rooftop,4330,"N Bay Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
11,"5396 N Bay Rd","Miami Beach",33140,25.832934,-80.130118,1,rooftop,5396,"N Bay Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
12,"5565 Pine Tree Drive","Miami Beach",33140,25.834182,-80.123421,1,rooftop,5565,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
13,"5589 Pine Tree Dr","Miami Beach",33140,25.834608,-80.123372,1,rooftop,5589,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
14,"4411 Pine Tree Dr","Miami Beach",33140,25.816818,-80.125057,1,rooftop,4411,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
15,"5045 Lakeview Drive","Miami Beach",33140,25.826953,-80.12594,1,rooftop,5045,"Lakeview Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
16,"5410 N Bay Rd","Miami Beach",33140,25.83315,-80.130154,1,rooftop,5410,"N Bay Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
17,"6300 N Bay Rd","Miami Beach",33141,25.843695,-80.129424,1,rooftop,6300,"N Bay Rd","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
18,"6380 N Bay Rd","Miami Beach",33141,25.844658,-80.128526,1,rooftop,6380,"N Bay Rd","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
19,"5821 Pine Tree Dr","Miami Beach",33140,25.838572,-80.123502,1,rooftop,5821,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
20,"4511 Lake Rd",Miami,33137,25.820592,-80.184896,1,rooftop,4511,"Lake Rd",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
21,"58 La Gorce Cir","Miami Beach",33141,25.849416,-80.130845,1,rooftop,58,"La Gorce Cir","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
22,"6410 N Bay Rd","Miami Beach",33141,25.845076,-80.128197,1,rooftop,6410,"N Bay Rd","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
23,"5711 Pine Tree Dr","Miami Beach",33140,25.836806,-80.123334,1,rooftop,5711,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
